code_insee, nom_commune, base_nette_commune, taux_commune, produit_commune, base_nette_syndicat, taux_syndicat, produit_syndicat, base_nette_interco, taux_interco, produit_interco, base_nette_tse, taux_tse, produit_tse
01001,"ABERGEMENT CLEMENCIAT ",22870,"21,8",4985,"- ","    .     ","- ",22870,"3,06",699,"- ","      .   ","- "
01002,"ABERGEMENT DE VAREY ","- ","       .  ","- ","- ","    .     ","- ",9781,"19,22",1880,9781,"0,914",93
01004,"AMBERIEU EN BUGEY ","- ","       .  ","- ","- ","    .     ","- ",5700400,"19,22",1095606,5700400,"0,914",52264
01005,"AMBERIEUX EN DOMBES ","- ","       .  ","- ","- ","    .     ","- ",170981,"22,07",37737,170981,"0,914",1573
01006,"AMBLEON ","- ","       .  ","- ","- ","    .     ","- ",6733,"23,69",1596,"- ","      .   ","- "
01007,"AMBRONAY ","- ","       .  ","- ","- ","    .     ","- ",872854,"19,22",167761,872854,"0,914",8009
01008,"AMBUTRIX ","- ","       .  ","- ","- ","    .     ","- ",152695,"19,22",29350,152695,"0,914",1401
01009,"ANDERT CONDON ","- ","       .  ","- ","- ","    .     ","- ",35565,"24,21",8614,"- ","      .   ","- "
01010,"ANGLEFORT ","N.C. ","20,64","N.C. ","- ","    .     ","- ","N.C. ","3,49","N.C. ","- ","      .   ","- "
01011,"APREMONT ","- ","       .  ","- ","- ","    .     ","- ",27043,"23,17",6266,27043,"0,914",253
01012,"ARANC ","- ","       .  ","- ","- ","    .     ","- ",97912,"23,42",22929,"- ","      .   ","- "
01013,"ARANDAS ",4758,"18,73",892,"- ","    .     ","- ",4758,"5,78",275,"- ","      .   ","- "
01014,"ARBENT ","- ","       .  ","- ","- ","    .     ","- ",4855448,"22,72",1103149,4855448,"0,914",44394
01015,"ARBIGNIEU ","- ","       .  ","- ","- ","    .     ","- ",28057,"26,01",7300,"- ","      .   ","- "
01016,"ARBIGNY ",23258,"17,74",4128,"- ","    .     ","- ",23258,"8,05",1872,23258,"0,914",212
01017,"ARGIS ",20124,"16,9",3398,"- ","    .     ","- ",20124,"5,78",1162,"- ","      .   ","- "
01019,"ARMIX ","- ","       .  ","- ","- ","    .     ","- ","- ","       .  ","- ","- ","      .   ","- "
01021,"ARS SUR FORMANS ","- ","       .  ","- ","- ","    .     ","- ",164160,"22,07",36231,164160,"0,914",1506
01022,"ARTEMARE ","- ","       .  ","- ","- ","    .     ","- ",323920,"24,36",78911,323920,"0,914",2973
01023,"ASNIERES SUR SAONE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","19,42","N.C. ","- ","      .   ","- "
01024,"ATTIGNAT ",1704439,"7,26",123732,"- ","    .     ","- ",1704439,"18,06",307795,1704439,"0,914",15593
01025,"BAGE LA VILLE ","- ","       .  ","- ","- ","    .     ","- ",280433,"19,42",54470,"- ","      .   ","- "
01026,"BAGE LE CHATEL ","- ","       .  ","- ","- ","    .     ","- ",62246,"19,42",12099,"- ","      .   ","- "
01027,"BALAN ","- ","       .  ","- ","- ","    .     ","- ",3168455,"19,85",628925,3168455,"0,914",28976
01028,"BANEINS ",22749,"22,18",5050,"- ","    .     ","- ",22749,"3,06",690,22749,"0,914",207
01029,"BEAUPONT ",348979,"17,79",62084,348979,"1,31",4574,348979,"5,72",19959,"- ","      .   ","- "
01030,"BEAUREGARD ","- ","       .  ","- ","- ","    .     ","- ",59545,"22,07",13138,59545,"0,914",552
01031,"BELLIGNAT ","- ","       .  ","- ","- ","    .     ","- ",3653727,"22,72",830116,3653727,"0,914",33418
01032,"BELIGNEUX ","- ","       .  ","- ","- ","    .     ","- ",1764193,"19,85",350181,1764193,"0,914",16151
01033,"BELLEGARDE/VALS. ",6240418,"23,46",1463966,"- ","    .     ","- ",6240418,"3,15",196600,6240418,"0,914",57086
01034,"BELLEY ","- ","       .  ","- ","- ","    .     ","- ",5722076,"24,12",1380161,5722076,"0,914",52371
01035,"BELLEYDOUX ","- ","       .  ","- ","- ","    .     ","- ",13615,"20,32",2769,13615,"0,914",127
01036,"BELMONT LUTHEZIEU ",63260,"14,22",8995,"- ","    .     ","- ",63260,"7,72",4885,"- ","      .   ","- "
01037,"BENONCES ",10872,"18,95",2062,"- ","    .     ","- ",10872,"4,22",455,"- ","      .   ","- "
01038,"BENY ","N.C. ","16,82","N.C. ","N.C. ","1,22","N.C. ","N.C. ","5,72","N.C. ","- ","      .   ","- "
01039,"BEON ","- ","       .  ","- ","- ","    .     ","- ",157885,"21,91",34593,"- ","      .   ","- "
01040,"BEREYZIAT ",6562,"6,94",455,"- ","    .     ","- ",6562,"18,06",1183,6562,"0,914",61
01041,"BETTANT ","- ","       .  ","- ","- ","    .     ","- ",22791,"19,22",4379,22791,"0,914",212
01042,"BEY ","- ","       .  ","- ","- ","    .     ","- ",22108,"20,23",4473,22108,"0,914",203
01043,"BEYNOST ","- ","       .  ","- ","- ","    .     ","- ",5498965,"20,32",1117402,5498965,"0,914",50346
01044,"BILLIAT ","N.C. ","18,1","N.C. ","- ","    .     ","- ","N.C. ","3,15","N.C. ","N.C. ","0,914","N.C. "
01045,"BIRIEUX ","- ","       .  ","- ","- ","    .     ","- ",30458,"20,68",6294,30458,"0,914",277
01046,"BIZIAT ",37593,"19,54",7348,"- ","    .     ","- ",37593,"3,09",1172,"- ","      .   ","- "
01047,"BLYES ","- ","       .  ","- ","- ","    .     ","- ",2358556,"19,22",453311,2358556,"0,914",21576
01049,"LA BOISSE ","- ","       .  ","- ","- ","    .     ","- ",2531551,"19,85",502501,2531551,"0,914",23173
01050,"BOISSEY ",8823,"16,84",1486,"- ","    .     ","- ",8823,"8,05",710,8823,"0,914",81
01051,"BOLOZON ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","26,32","N.C. ","N.C. ","0,914","N.C. "
01052,"BOULIGNEUX ","- ","       .  ","- ","- ","    .     ","- ",33180,"20,68",6860,33180,"0,914",305
01053,"BOURG-EN-BRESSE ","- ","       .  ","- ","- ","    .     ","- ",21816168,"25,5",5563109,21816168,"0,914",199590
01054,"BOURG ST CHRISTOPHE ","- ","       .  ","- ","- ","    .     ","- ",43333,"19,22",8330,43333,"0,914",406
01056,"BOYEUX ST JEROME ","- ","       .  ","- ","- ","    .     ","- ",17763,"21,9",3888,17763,"0,914",164
01057,"BOZ ",115101,"16,21",18660,"- ","    .     ","- ",115101,"8,05",9266,115101,"0,914",1054
01058,"BREGNIER CORDON ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","26,39","N.C. ","- ","      .   ","- "
01059,"BRENAZ ",6938,"13,22",916,"- ","    .     ","- ",6938,"7,72",536,"- ","      .   ","- "
01060,"BRENOD ","- ","       .  ","- ","- ","    .     ","- ",43116,20,8623,43116,"0,914",396
01061,"BRENS ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","25,61","N.C. ","N.C. ","0,914","N.C. "
01062,"BRESSOLLES ","- ","       .  ","- ","- ","    .     ","- ",807612,"19,85",160309,807612,"0,914",7387
01063,"BRION ","- ","       .  ","- ","- ","    .     ","- ",1001063,"20,69",207113,1001063,"0,914",9155
01064,"BRIORD ","N.C. ","16,02","N.C. ","- ","    .     ","- ","N.C. ","4,22","N.C. ","- ","      .   ","- "
01065,"BUELLAS ","- ","       .  ","- ","- ","    .     ","- ",116051,"25,5",29590,116051,"0,914",1070
01066,"LA BURBANCHE ","- ","       .  ","- ","- ","    .     ","- ",9388,"20,81",1954,"- ","      .   ","- "
01067,"CEIGNES ","- ","       .  ","- ","- ","    .     ","- ",474095,"21,83",103493,474095,"0,914",4335
01068,"CERDON ","- ","       .  ","- ","- ","    .     ","- ",56602,"21,9",12387,56602,"0,914",515
01069,"CERTINES ","- ","       .  ","- ","- ","    .     ","- ",818185,"21,42",175251,818185,"0,914",7494
01071,"CESSY ",882224,"20,08",177138,"- ","    .     ","- ",882224,"3,68",32483,882224,"0,914",8070
01072,"CEYZERIAT ","- ","       .  ","- ","- ","    .     ","- ",639958,"22,7",145297,639958,"0,914",5837
01073,"CEYZERIEU ","- ","       .  ","- ","- ","    .     ","- ",39346,"26,38",10374,"- ","      .   ","- "
01074,"CHALAMONT ",607408,"20,16",122451,"- ","    .     ","- ",680166,"29,54",48766,680166,"0,914",6242
01074,"CHALAMONT                                          dans la ZAE ","- ","       .  ","- ","- ","    .     ","- ",72758,"24,44",17783,72758,"0,914",666
01075,"CHALEINS ","- ","       .  ","- ","- ","    .     ","- ",818062,"18,31",149765,818062,"0,914",7474
01076,"CHALEY ",18871,"18,32",3457,"- ","    .     ","- ",18871,"5,78",1089,"- ","      .   ","- "
01077,"CHALLES-LA-MONTAGNE ","- ","       .  ","- ","- ","    .     ","- ","N.C. ","21,9","N.C. ","N.C. ","0,914","N.C. "
01078,"CHALLEX ",355755,"28,67",101998,"- ","    .     ","- ",355755,"3,68",13092,355755,"0,914",3263
01079,"CHAMPAGNE-EN-VALROMEY ",68216,"14,41",9820,"- ","    .     ","- ",68216,"7,72",5272,"- ","      .   ","- "
01080,"CHAMPDOR ","- ","       .  ","- ","- ","    .     ","- ",32861,"22,47",7380,"- ","      .   ","- "
01081,"CHAMPFROMIER ","N.C. ","20,51","N.C. ","- ","    .     ","- ","N.C. ","3,15","N.C. ","N.C. ","0,914","N.C. "
01082,"CHANAY ","N.C. ","22,01","N.C. ","- ","    .     ","- ","N.C. ","3,15","N.C. ","N.C. ","0,914","N.C. "
01083,"CHANEINS ",85598,"17,36",14861,"- ","    .     ","- ",85598,"3,06",2608,85598,"0,914",780
01084,"CHANOZ CHATENAY ",29322,"21,62",6334,"- ","    .     ","- ",29322,"3,09",910,29322,"0,914",268
01085,"LA CHAPELLE DU CHATELARD ","- ","       .  ","- ","- ","    .     ","- ",52978,"20,68",10953,52978,"0,914",483
01087,"CHARIX ","- ","       .  ","- ","- ","    .     ","- ",209595,"19,4",40662,209595,"0,914",1918
01088,"CHARNOZ SUR AIN ","- ","       .  ","- ","- ","    .     ","- ",110615,"19,22",21259,110615,"0,914",1025
01089,"CHATEAU GAILLARD ","- ","       .  ","- ","- ","    .     ","- ",1460662,"19,22",280739,1460662,"0,914",13377
01090,"CHATENAY ",21627,"21,17",4582,"- ","    .     ","- ",21627,"5,1",1106,21627,"0,914",203
01091,"CHATILLON EN MICHAILLE ",2025030,"16,08",325619,"- ","    .     ","- ",2064569,"24,69",72327,2064569,"0,914",18864
01091,"CHATILLON EN MICHAILLE                             dans la ZAE ","- ","       .  ","- ","- ","    .     ","- ",39539,"21,54",8516,39539,"0,914",361
01092,"CHATILLON LA PALUD ",83283,"19,57",16287,"- ","    .     ","- ",83283,"5,1",4236,83283,"0,914",775
01093,"CHATILLON / CHALARONNE ",4076833,"23,35",951914,"- ","    .     ","- ",4353315,"26,95",190824,4353315,"0,914",39858
