01001,"ABERGEMENT CLEMENCIAT ",808493,16,129346,"- ","    .     ","- ",808979,"2,29",18532,"- ","      .   ","- "
01002,"ABERGEMENT DE VAREY ",341890,"9,75",33332,"- ","    .     ","- ",334011,"6,3",21046,341890,"0,177",601
01004,"AMBERIEU EN BUGEY ",20388491,"12,25",2497655,"- ","    .     ","- ",20812642,"6,3",1311171,19030324,"0,177",33705
01005,"AMBERIEUX EN DOMBES ",1752323,"14,88",260743,"- ","    .     ","- ",1735217,"6,38",110699,1701891,"0,177",3011
01006,"AMBLEON ",125982,"14,81",18657,"- ","    .     ","- ",126745,"3,62",4590,"- ","      .   ","- "
01007,"AMBRONAY ",3021411,"11,91",359856,"- ","    .     ","- ",3460909,"6,3",218033,2938977,"0,177",5228
01008,"AMBUTRIX ",878889,"8,97",78838,"- ","    .     ","- ",1023544,"6,3",64474,859346,"0,177",1521
01009,"ANDERT CONDON ",500029,"10,01",50060,"- ","    .     ","- ",500199,"3,62",18108,"- ","      .   ","- "
01010,"ANGLEFORT ",1485967,"8,94",132834,"- ","    .     ","- ",1488097,"2,46",36592,"- ","      .   ","- "
01011,"APREMONT ",376062,"11,39",42835,"- ","    .     ","- ",370224,"7,02",25996,359295,"0,177",631
01012,"ARANC ",431399,13,56079,"- ","    .     ","- ",420912,"6,31",26563,"- ","      .   ","- "
01013,"ARANDAS ",180584,"15,43",27863,"- ","    .     ","- ",180693,"5,64",10188,"- ","      .   ","- "
01014,"ARBENT ",3996443,"8,12",324524,"- ","    .     ","- ",4035603,"7,02",283334,3420295,"0,177",6047
01015,"ARBIGNIEU ",757821,"8,83",66919,"- ","    .     ","- ",758633,"3,62",27460,"- ","      .   ","- "
01016,"ARBIGNY ",527328,"15,7",82786,"- ","    .     ","- ",527051,"6,83",36001,521394,"0,177",935
01017,"ARGIS ",482715,"16,4",79171,"- ","    .     ","- ",483889,"5,64",27290,"- ","      .   ","- "
01019,"ARMIX ",36921,"11,5",4247,"- ","    .     ","- ",36911,"3,62",1337,"- ","      .   ","- "
01021,"ARS SUR FORMANS ",1324172,"14,65",193991,"- ","    .     ","- ",1450438,"6,38",92553,1274475,"0,177",2249
01022,"ARTEMARE ",1603012,15,240460,"- ","    .     ","- ",1506918,"3,62",54547,1401836,"0,177",2482
01023,"ASNIERES SUR SAONE ",85428,"9,11",7782,"- ","    .     ","- ",83728,"6,26",5240,"- ","      .   ","- "
01024,"ATTIGNAT ",3154357,"10,1",318588,"- ","    .     ","- ",3281843,"14,58",478488,2935789,"0,177",5190
